,Country Name,Country Code,2015,2016,2017,2018,2019,2020,Unnamed: 65
48,Costa Rica,CRI,11642.7780517123,12011.2227544174,12225.5744931385,12468.5752921871,12669.7060822563,12076.8145138494,
99,Croatia,HRV,11781.7347932429,12361.4838303671,13451.6249479152,15014.0850191716,14944.3562248936,13828.4695048846,
53,Cyprus,CYP,23408.3366816249,24605.9208328767,26444.0743777801,29089.4713273857,28288.4615757198,26623.8008913181,
54,Czech Republic,CZE,17829.6983223668,18575.2320271915,20636.199952435,23419.7356136502,23490.3984633494,22762.1971366777,
58,Denmark,DNK,53254.8563700916,54663.9983719195,57610.0981801135,61598.5367043936,60213.0921454746,60908.8351349442,
59,Dominican Republic,DOM,6921.52059432776,7280.88361041225,7609.35327534023,8050.64407623416,8282.11713050921,7268.1969096591,
66,Ecuador,ECU,6124.49088707134,6060.09296156791,6213.50312736888,6295.93466163992,6222.52465327248,5600.38961495341,
67,Egypt,EGY,3562.93265798423,3519.8732398108,2444.29038718448,2537.12518504712,3019.09228346646,3547.87084813809,
211,El Salvador,SLV,3705.57970353453,3805.99568574434,3910.25596873198,4052.62477533742,4167.73093878563,3798.63652082321,
71,Estonia,EST,17522.230186252,18437.2528207173,20407.9273809157,23159.3924948461,23717.7994512337,23312.2763272181,
72,Ethiopia,ETH,640.541923075422,717.124869806118,768.523015429372,771.524866349431,855.760885186903,936.340461064749,
75,Finland,FIN,42784.6983616432,43784.2839622098,46297.4963459994,50013.2942027626,48711.5642079496,49041.3422565659,
77,France,FRA,36638.184929157,37037.3741861219,38685.2584944953,41526.4146584125,40380.0987725432,38625.0673845578,
80,Gabon,GAB,7384.70070393071,6984.41971208387,7230.43491161979,7956.62781558686,7767.01697942954,7005.87909704756,
82,Georgia,GEO,4014.18594419329,4062.16988757379,4357.00093554628,4722.78778321766,4697.98365238984,4278.86077091661,
55,Germany,DEU,41086.7296737253,42107.5172703074,44442.7718397577,47787.1605074447,46467.5162023856,45723.6441039328,
83,Ghana,GHA,1705.57508204519,1913.47353585435,2020.68178984221,2194.23247709545,2210.35592258865,2328.53464211079,
89,Greece,GRC,18050.0976100746,17885.3928086126,18562.2294309576,19765.9964536083,19150.7861964985,17676.1924769339,
92,Guatemala,GTM,3994.63691288475,4173.30166619474,4454.04814983548,4478.42464550944,4638.63494319511,4603.33961670975,
85,Guinea,GIN,769.255475433161,732.291511901218,855.575270552367,955.11128113689,1058.14336817318,1194.03786469464,
100,Haiti,HTI,1389.11977926485,1265.9869321522,1294.23962819616,1435.35085222052,1272.49069871548,1176.75581952799,
97,Honduras,HND,2302.20441093316,2342.58490388004,2453.72711527978,2510.32294304191,2574.35675105143,2405.73284775141,
101,Hungary,HUN,12706.8912148924,13090.5067287853,14605.8543453283,16411.4411105738,16733.3221691387,15899.1482797158,
114,Iceland,ISL,52951.6815110898,61987.9263620283,72010.1490316258,74348.3622846255,68883.1487741776,59260.8871381682,
109,India,IND,1605.60544457045,1732.55424231697,1980.66701982813,1996.91508739755,2100.75146060783,1900.70680971528,
106,Indonesia,IDN,3331.69511469189,3562.81633352183,3837.57802362633,3893.85957814877,4135.20153132694,3869.58842704537,
112,Iran,IRN,4904.32731485169,5253.42656033356,5520.31478213998,3598.48345396129,3114.62275284063,2282.55186460415,
113,Iraq,IRQ,4688.31801743466,4550.65863784829,5076.69079455993,5523.07837548534,5658.49226654047,4157.48449469489,
111,Ireland,IRL,62000.1188069238,62993.7450967453,70413.1218331383,79297.729203754,80778.8296145658,83812.8029661508,
115,Israel,ISR,35813.7134069142,37282.5305590856,40474.6681292998,41704.8285653125,43588.713153649,43610.5203308148,
116,Italy,ITA,30230.2263021296,30939.7142462298,32326.6742113994,34608.6756017054,33566.7873041609,31676.2020987349,
117,Jamaica,JAM,4907.927415189,4843.74989999401,5070.0995030616,5359.99378939638,5369.4983713849,4664.52915035973,
119,Japan,JPN,34524.4698609337,38761.8181501925,38386.5111457057,39159.4235633952,40113.0609702277,,
118,Jordan,JOR,4164.10876894014,4175.35660192301,4231.51827999134,4308.1510738997,4405.48710929391,4282.76582261085,
120,Kazakhstan,KAZ,10510.7718884149,7714.84184376024,9247.58133129626,9812.62637077396,9812.5958082732,9055.74500903002,
121,Kenya,KEN,1336.88326508851,1410.53202527561,1572.34573373101,1708.00142830255,1816.54712375218,1838.20996794042,
261,Kosovo,XKX,3603.02550073134,3780.00368867233,4045.61420880757,4419.91432698449,4445.89070247935,4287.20090326802,
127,Kuwait,KWT,29869.552753237,27653.1576200281,29759.4674424751,33399.060475851,32373.2511149607,,
122,Kyrgyzstan,KGZ,1121.08283510739,1120.66651300848,1242.76964282023,1308.13977921849,1374.03113639092,1173.61135576213,
145,Latvia,LVA,13774.6052739114,14315.7928949778,15643.485634322,17849.5592976346,17794.4786167812,17619.9523907399,
130,Lebanon,LBN,7644.54514657966,7626.30019562992,7792.5988604995,8012.53923684943,7583.69914645363,4891.00147031944,
131,Liberia,LBR,710.384016560869,714.623392230031,698.702358713664,677.322319098497,621.892953622715,583.271727316711,
132,Libya,LBY,4337.91913919348,4035.19680169994,5756.69932474775,7877.12460954542,7685.94813248318,3699.22862081017,
